arti,coun,date,rank,titl
Bebe Rexha,"520,511","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",166,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version
Justin Bieber,"517,444","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",167,Sorry
Don Omar,"516,198","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",168,Te Quiero Pa´Mi
IAmChino,"515,266","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",169,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)"
Alan Walker,"512,364","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",170,Faded
Twenty One Pilots,"512,012","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",171,Heathens
Little Mix,"503,571","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",172,Touch
Lord Huron,"502,632","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",173,The Night We Met
DRAM,"501,211","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",174,Broccoli (feat. Lil Yachty)
Shawn Mendes,"499,730","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",175,Mercy
Little Mix,"499,679","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",176,Power (feat. Stormzy)
Fifth Harmony,"498,071","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",177,Work from Home (feat. Ty Dolla $ign)
Calvin Harris,"495,723","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",178,My Way
Alessia Cara,"493,389","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",179,"How Far I'll Go - From ""Moana"""
Kendrick Lamar,"492,691","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",180,ELEMENT.
Imagine Dragons,"491,737","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",181,Walking The Wire
Post Malone,"489,330","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",182,White Iverson
Major Lazer,"489,003","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",183,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
Cali Y El Dandee,"488,053","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",184,Lumbra
Jonas Blue,"486,872","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",185,Perfect Strangers
2 Chainz,"483,972","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",186,Good Drank
Future,"483,970","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",187,Mask Off - Remix
Twenty One Pilots,"483,226","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",188,Ride
Playboi Carti,"482,815","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",189,wokeuplikethis*
Major Lazer,"481,419","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",190,Lean On (feat. MØ & DJ Snake)
Wisin,"481,312","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",191,Vacaciones
Ed Sheeran,"481,125","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",192,Dive
Twenty One Pilots,"480,350","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",193,Stressed Out
Robin Schulz,"479,713","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",194,Shed a Light
blackbear,"479,384","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",195,do re mi
James Arthur,"476,554","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",196,Can I Be Him
JP Cooper,"474,646","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",197,September Song
Rae Sremmurd,"470,656","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",198,Black Beatles
Future,"467,876","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",199,Selfish (feat. Rihanna)
Desiigner,"465,731","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",200,Panda
